Node	1	2	3	4	5	6	7	8	9
16991	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16992	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16993	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16994	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16995	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16996	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16997	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16998	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
16999	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17000	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17001	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17002	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17003	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17004	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17005	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17006	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17007	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17008	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17009	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17010	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17011	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17012	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17013	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17014	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17015	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17016	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17017	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17018	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17019	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17020	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17021	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17022	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17023	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17024	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17025	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17026	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17027	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17028	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17029	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17030	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17031	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17032	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17033	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17034	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17035	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17036	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17037	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17038	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17039	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17040	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17041	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17042	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17043	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17044	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17045	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17046	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17047	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17048	Coarse5	Coarse5	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17049	Coarse5	Coarse5	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17050	Coarse5	Coarse5	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17051	Coarse5	Coarse5	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17052	Coarse5	Coarse5	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17053	Coarse5	Coarse5	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17054	Coarse5	Coarse5	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17055	Coarse5	Coarse5	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17056	Coarse5	Coarse5	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17057	Coarse5	Coarse5	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17058	Coarse5	Coarse5	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17059	Coarse5	Coarse5	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17060	Coarse5	Coarse5	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17061	Coarse5	Coarse5	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17062	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17063	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17064	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17065	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17066	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17067	Coarse5	Coarse5	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17068	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17069	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17070	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17071	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17072	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17073	Coarse5	Coarse5	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17074	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17075	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17076	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17077	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17078	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17079	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17080	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17081	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17082	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17083	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17084	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17085	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17086	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17087	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17088	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17089	Fine6	Fine6	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
